driver_id,start_time,end_time,start_location,end_location
0,1980-08-08 16:06:14 +0100,1980-08-08 17:50:19 +0100,"42.963996067540705, 179.12580709461116","-22.138642777710828, 163.18247074887097"
1,1981-06-09 15:26:01 +0100,1981-06-09 17:35:36 +0100,"-7.093288394465972, 132.1626168101277","-4.414490685815565, 136.22489750066455"
2,1977-01-04 09:31:52 +0000,1977-01-04 09:39:24 +0000,"3.8966272612973256, -81.03356015964523","14.95682042544614, 28.34205831184221"
3,1985-03-01 00:52:19 +0000,1985-03-01 02:35:13 +0000,"63.799278332194945, 17.16272400207069","1.4423880376064773, 138.00095863552934"
4,1988-12-24 21:24:10 +0000,1988-12-24 22:07:35 +0000,"-68.03919746811421, 38.6941166741903","24.37310458674125, -141.23890337940622"
5,1986-06-10 17:28:18 +0100,1986-06-10 19:50:55 +0100,"7.689065851111096, -0.6355373007288847","-4.431523973860365, -24.822795177881773"
6,1988-01-02 15:16:25 +0000,1988-01-02 17:18:33 +0000,"-61.95077938271736, 122.05614740328838","47.52907110261296, 63.46268145586589"
7,1970-04-27 12:33:47 +0100,1970-04-27 12:46:20 +0100,"37.93262139023794, -79.34465680836703","11.625736348832845, -52.52744660686656"
8,2001-05-17 13:07:58 +0100,2001-05-17 14:37:31 +0100,"-81.8123959521098, 101.8745004447349","-43.26713665363193, 35.955109370563946"
9,1971-03-24 23:44:53 +0100,1971-03-25 00:19:56 +0100,"-5.173414978351644, -98.57466700267047","35.25049876002909, -178.44158565720608"
10,1986-09-17 17:09:55 +0100,1986-09-17 19:26:32 +0100,"38.54074892817263, 140.84062449699047","88.5867324297418, 48.786562298885"
11,1970-07-20 20:00:52 +0100,1970-07-20 22:17:34 +0100,"-69.06683778527551, 138.10294561643832","-67.81784508946488, -122.08876774528645"
12,2011-04-18 12:23:36 +0100,2011-04-18 14:11:22 +0100,"-11.062382840301126, -126.714901313434","86.02409727124854, 72.13493018126812"
13,1988-04-13 06:54:44 +0100,1988-04-13 07:56:41 +0100,"28.518392623073694, -70.60062994773986","42.89594997816866, 92.02636340564493"
14,1985-05-22 07:03:29 +0100,1985-05-22 07:13:32 +0100,"51.07897767504443, 161.98432496788655","-28.938140266451043, 127.91172935457865"
15,1992-05-25 09:35:17 +0100,1992-05-25 11:04:20 +0100,"40.86917172337141, 72.36181123297328","-44.77616327081312, -118.13810594355678"
16,2008-04-12 11:33:31 +0100,2008-04-12 12:39:27 +0100,"-7.526000909724601, 48.497138049816954","-39.8536043156428, -61.61527886244079"
17,2000-09-13 18:15:45 +0100,2000-09-13 19:03:47 +0100,"83.8284975369136, -131.50353065783997","39.31660831698932, 15.578629566240465"
18,1975-05-05 09:37:31 +0100,1975-05-05 12:22:30 +0100,"25.70871806748444, 127.13408616874148","66.20255366843514, -171.1343712709242"
19,2006-11-03 12:44:06 +0000,2006-11-03 15:25:57 +0000,"-83.25038419043956, -47.252260787296876","-20.23605553724444, 97.92093974552614"
20,1995-07-19 18:39:45 +0100,1995-07-19 20:06:31 +0100,"24.772888092483555, -3.274974743543396","30.150030644264618, -104.9706597332501"
21,1980-10-10 05:01:55 +0100,1980-10-10 07:29:52 +0100,"60.6907454115219, 72.43761390038262","48.46675047069962, 152.26791400802557"
22,1975-05-20 03:11:08 +0100,1975-05-20 04:59:51 +0100,"-7.70693275155935, 64.91299563281663","-29.21103079626016, -16.848573357969315"
23,1981-05-18 13:31:49 +0100,1981-05-18 15:03:22 +0100,"80.79692357144631, 20.651364853730144","-16.04653469020552, 5.422229653145223"
24,1972-04-11 01:23:32 +0100,1972-04-11 03:12:53 +0100,"32.912007745820404, -26.295025344459106","23.813883813045138, 133.14203503211814"
25,1988-11-21 23:58:02 +0000,1988-11-22 02:00:53 +0000,"28.04383683237512, -136.67376543210253","-71.03875237202372, 171.38404490269528"
26,1981-04-21 06:53:40 +0100,1981-04-21 07:26:10 +0100,"52.41571559312206, 50.039226409574326","85.87336029852312, 150.28625831316413"
27,1979-08-12 19:08:47 +0100,1979-08-12 21:49:01 +0100,"89.93678037245016, 62.10765849846868","-40.85214314290543, -59.878775283952905"
28,1978-07-27 13:48:33 +0100,1978-07-27 14:28:46 +0100,"29.210989869393785, 122.51081271160854","76.09873179623105, -118.63611820262908"
29,1993-12-05 18:24:49 +0000,1993-12-05 20:43:58 +0000,"77.43476027362485, 116.8664752438612","-51.950276567877225, -50.7528530975747"
30,1978-07-03 17:00:22 +0100,1978-07-03 17:09:47 +0100,"51.792404528166855, 89.85828647534612","70.24156203955627, -71.41659085803073"
31,1982-06-04 14:56:06 +0100,1982-06-04 16:39:35 +0100,"52.70050793372684, 25.63761935421587","8.800763132373632, -23.108804833909318"
32,1981-11-02 20:47:42 +0000,1981-11-02 22:48:22 +0000,"-73.13838835059684, 47.28791240776525","66.58071707950927, -34.848764316381136"
33,2011-03-31 04:48:38 +0100,2011-03-31 06:02:42 +0100,"-80.85454952318912, 78.98889790465597","-40.11999692773132, 173.37111594028488"
34,2012-10-28 01:16:23 +0000,2012-10-28 03:35:06 +0000,"-89.19882768614399, -129.65593373532977","-55.65216528464987, -124.30392753146606"
35,2000-07-17 15:58:28 +0100,2000-07-17 16:37:35 +0100,"-65.75509092034426, 17.57873016464859","23.53272487955823, 89.16352385760734"
36,1975-11-04 18:57:02 +0000,1975-11-04 21:14:16 +0000,"-40.09917853601806, -72.2281422987019","1.940919827783219, -41.276521010784336"
37,1990-07-16 03:35:55 +0100,1990-07-16 05:23:41 +0100,"-46.78833921827391, 98.75876729793032","18.56841484445718, 14.710197683421313"
38,1972-03-16 17:08:29 +0000,1972-03-16 19:53:02 +0000,"42.22057426810116, -150.95921517290782","63.220904085205746, 17.653024228695443"
39,1976-03-10 17:18:52 +0000,1976-03-10 18:57:08 +0000,"47.42388521216179, 125.5855640142359","-71.53874365070213, -53.84383729458513"
40,2012-11-15 00:16:06 +0000,2012-11-15 00:34:06 +0000,"27.384388113547644, 92.0816902810015","-25.355099300759676, 44.138783065204876"
41,1988-08-31 09:16:44 +0100,1988-08-31 09:53:50 +0100,"37.19419062735204, -165.68441708712027","43.245118708306734, 74.33129197994361"
42,1984-10-10 07:10:13 +0100,1984-10-10 08:22:29 +0100,"81.75554321965177, 154.79415550789923","10.849992066291023, 18.677377079866744"
43,2015-04-12 08:12:05 +0100,2015-04-12 10:57:29 +0100,"59.45298759214259, 52.43246974773828","36.45792046702405, -176.76106648496466"
44,1999-09-03 16:24:34 +0100,1999-09-03 18:54:46 +0100,"71.22566661915855, -33.58638046425878","28.688820764226136, -74.04252127451277"
45,1989-10-16 20:59:22 +0100,1989-10-16 21:48:10 +0100,"49.26573303631238, 85.10525247378973","34.1243918379777, 113.27204486736252"
46,2007-06-21 21:54:56 +0100,2007-06-21 23:43:47 +0100,"-88.60134113697282, 68.04580919527496","71.35457596700223, 114.88414223118741"
47,1993-02-13 00:10:42 +0000,1993-02-13 01:57:02 +0000,"-40.45610860823993, 104.38018901620785","28.06753725232521, -175.52538683294628"
48,1989-09-25 15:41:36 +0100,1989-09-25 16:33:58 +0100,"0.38030212601697144, 54.7330837286587","37.616281154934654, 103.35845197959986"
49,1986-07-23 16:15:02 +0100,1986-07-23 16:58:29 +0100,"-62.29329203964835, -159.2778680203618","56.643145496519736, 43.89526238607937"
50,1993-09-05 06:55:29 +0100,1993-09-05 07:49:02 +0100,"-5.629617680120418, 174.8264805110676","-3.6288014447065393, -11.41780498909344"
51,2000-07-31 14:22:16 +0100,2000-07-31 15:35:59 +0100,"47.12894049433288, -17.22405701559626","41.630269479912585, -155.3294409516438"
52,1989-10-29 07:54:59 +0000,1989-10-29 10:37:11 +0000,"-75.88455354874232, 113.47141565753736","-32.55661652937776, -83.72295255833234"
53,1987-04-19 11:02:59 +0100,1987-04-19 12:32:55 +0100,"52.21878101943466, 169.0969312247496","51.59497441445947, 164.60461839481297"
54,2005-12-01 23:52:01 +0000,2005-12-02 01:52:41 +0000,"-45.84455741554779, -96.00153213875804","77.1595686740105, 105.60193601781117"
55,1978-09-18 15:35:31 +0100,1978-09-18 16:45:09 +0100,"43.28272990219753, 162.3908208729718","25.34047175729974, -83.75222150687348"
56,1978-11-27 14:51:45 +0000,1978-11-27 15:29:24 +0000,"-18.1328929250312, 23.273342762630676","-83.22044970566168, 13.099549560771493"
57,1970-09-16 04:22:22 +0100,1970-09-16 05:07:48 +0100,"16.298824378051805, -89.16289911177985","-89.64860006380513, 176.71668437130944"
58,1991-09-21 04:59:19 +0100,1991-09-21 05:42:15 +0100,"-83.44725948044204, -119.57231708269215","-72.99582987936424, -74.2084643548466"
59,1983-09-11 16:02:27 +0100,1983-09-11 18:00:01 +0100,"31.403917486166677, 59.83807134602429","-56.58815955615029, 13.165527749856125"
60,1990-05-13 09:58:11 +0100,1990-05-13 10:23:53 +0100,"29.4122689864448, -161.6835617973496","-34.87036960545842, -39.64834211986803"
